time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.134997,-0.051190,-0.011385,-0.031977,-0.086545
1.139997,-0.051339,-0.011714,-0.028163,-0.094908
1.144997,-0.051468,-0.012282,-0.024330,-0.096041
1.149998,-0.051578,-0.012721,-0.020446,-0.103988
1.154998,-0.051669,-0.013346,-0.016507,-0.102884
1.159998,-0.051739,-0.013863,-0.012521,-0.109045
1.164998,-0.051790,-0.014523,-0.008534,-0.109366
1.169999,-0.051821,-0.015039,-0.004477,-0.111338
1.174999,-0.051830,-0.015700,-0.000311,-0.106087
1.179999,-0.051819,-0.016203,0.003890,-0.106993
1.184999,-0.051787,-0.016840,0.008182,-0.105510
1.190000,-0.051733,-0.017855,0.012602,-0.120847
1.195000,-0.051656,-0.018569,0.017222,-0.117362
1.200000,-0.051556,-0.019032,0.022045,-0.117360
1.205000,-0.051430,0.013452,0.027276,0.020337
1.210001,-0.051277,0.013993,0.032822,0.014599
1.215001,-0.051096,0.014093,0.038373,0.018493
1.220001,-0.050888,0.014135,0.043652,0.022585
1.225001,-0.050656,0.014275,0.048414,0.025596
1.230001,-0.050401,0.014516,0.052572,0.019286
1.235002,-0.050127,0.014640,0.056107,0.022387
1.240002,-0.049838,0.014658,0.058997,0.038986
1.245002,-0.049536,0.014894,0.061121,0.040651
1.250002,-0.049226,0.015078,0.062419,0.043954
1.255003,-0.048912,0.015343,0.062926,0.042475
1.260003,-0.048598,0.015630,0.062654,0.048170
1.265003,-0.048288,0.015911,0.061608,0.044759
1.270003,-0.047985,0.015778,0.059846,0.027589
1.275004,-0.047692,0.015935,0.057452,0.023297
1.280004,-0.047414,0.015860,0.054546,0.014669
1.285004,-0.047151,0.015932,0.051216,0.006248
1.290004,-0.046905,0.015865,0.047559,-0.001945
1.295004,-0.046679,0.015840,0.043683,-0.010610
1.300005,-0.046473,0.015730,0.039650,-0.017054
1.305005,-0.046287,0.023394,0.035632,0.005362
1.310005,-0.046120,0.023134,0.031628,0.006979
1.315005,-0.045974,0.023165,0.027685,0.000087
1.320006,-0.045847,0.023285,0.023800,-0.007097
1.325006,-0.045740,0.023220,0.019945,-0.017268
1.330006,-0.045652,0.023237,0.016111,-0.031942
1.335006,-0.045583,0.023031,0.012217,-0.041491
1.340007,-0.045533,0.022882,0.008325,-0.054056
1.345007,-0.045503,0.022538,0.004479,-0.063212
1.350007,-0.045493,0.022292,0.000565,-0.065383
1.355007,-0.045502,0.021889,-0.003435,-0.072529
1.360008,-0.045531,0.021665,-0.007433,-0.073645
1.365008,-0.045580,0.021207,-0.011425,-0.081395
1.370008,-0.045649,0.021004,-0.015387,-0.081309
1.375008,-0.045738,0.020496,-0.019156,-0.089980
1.380008,-0.045844,0.020220,-0.022716,-0.091217
1.385009,-0.045968,0.019655,-0.026109,-0.099670
1.390009,-0.046108,0.019627,-0.029305,-0.091452
1.395009,-0.046264,0.019066,-0.032289,-0.098509
1.400009,-0.046433,0.018809,-0.034989,-0.097490
1.405010,-0.046616,0.020474,-0.037469,-0.084925
1.410010,-0.046810,0.020006,-0.039709,-0.087922
1.415010,-0.047015,0.019476,-0.041684,-0.088902
1.420010,-0.047228,0.019262,-0.043402,-0.098233
1.425011,-0.047450,0.018662,-0.044908,-0.104567
1.430011,-0.047678,0.018115,-0.046235,-0.100776
1.435011,-0.047913,0.017509,-0.047379,-0.103781
1.440011,-0.048153,0.017087,-0.048361,-0.104282
1.445011,-0.048397,0.016455,-0.049184,-0.108870
1.450012,-0.048645,0.016002,-0.049854,-0.114074
1.455012,-0.048896,0.015300,-0.050376,-0.119998
1.460012,-0.049149,0.014790,-0.050743,-0.124943
1.465012,-0.049404,0.014038,-0.050935,-0.126588
